Cultivars;Niv. de sens.;Trait;Al;Ca;Cu;Fe;K;Mg;Mn;Na;P;S;Zn;Experience
BRG;Élevé;inoc;10;10735;13;66;65517;3255;44;5881;6936;2785;95;2
BRG;Élevé;inoc;10;9306;10;66;55017;2944;41;5342;5770;2323;80;2
LIG;Élevé;inoc;16;12016;11;72;66007;3948;36;3926;7318;2415;83;2
LIG;Élevé;inoc;10;10017;8;62;53723;3488;34;3543;6569;2062;68;2
LIG;Élevé;inoc;10;10355;8;59;56170;3638;39;3731;6707;2100;75;2
LIG;Élevé;inoc;10;10251;8;62;59586;3548;35;4015;7074;2207;76;2
PIC;Faible;non;25;11994;8;63;45972;3038;150;2865;5239;2417;55;3
PIC;Faible;non;20;10694;7;55;38688;2499;148;2056;4658;1926;51;3
PIC;Faible;non;21;12830;8;60;50379;2803;182;2571;5749;2230;65;3
PIC;Faible;non;16;12669;10;51;51061;2966;144;2123;5572;2189;67;3
GOR;Faible;non;19;10494;7;62;50533;2906;166;1802;5543;2253;72;3
GOR;Faible;non;20;8958;9;58;41824;2570;166;1418;4988;2064;68;3
GOR;Faible;non;22;10049;8;67;54422;3117;174;1953;6526;2536;79;3
GOR;Faible;non;17;8665;7;55;42355;2508;144;1490;4592;1909;64;3
CHI;Faible;non;19;8988;6;65;39203;2498;144;1876;4376;1950;59;3
CHI;Faible;non;18;9356;6;57;44620;2684;159;2018;4586;2010;61;3
CHI;Faible;non;17;9809;5;55;46371;2829;171;2351;5012;2202;62;3
CHI;Faible;non;15;9945;6;57;49918;3094;144;2241;5685;2383;68;3
VIV;Faible;non;18;12962;8;60;49554;2617;191;2417;5044;2344;77;3
VIV;Faible;non;16;12894;6;67;46075;2790;209;2692;4896;2419;75;3
VIV;Faible;non;14;12980;6;54;45315;2728;189;2109;4843;2312;69;3
VIV;Faible;non;14;11758;7;58;46218;2763;166;2678;4906;2278;72;3
TUR;Moyen;non;18;9147;7;48;38683;2459;166;1383;4134;1742;61;3
TUR;Moyen;non;18;10323;8;53;41787;2693;187;1391;4514;1912;71;3
TUR;Moyen;non;17;11346;6;54;48020;3025;210;1622;4989;2091;74;3
TUR;Moyen;non;17;9759;6;54;43573;2815;165;2029;4494;2037;69;3
ROM;Moyen;non;40;12250;6;92;45695;3624;143;3194;5623;2407;61;3
ROM;Moyen;non;17;10953;5;54;42720;3130;140;3040;4983;2034;56;3
ROM;Moyen;non;20;12810;6;60;57097;3704;179;3175;7033;2659;73;3
ROM;Moyen;non;17;12661;8;55;49696;3734;149;2754;5753;2356;71;3
HOC;Élevé;non;21;12545;10;62;54271;2840;150;2252;5370;2341;80;3
HOC;Élevé;non;17;9139;7;55;44480;2498;136;2365;4637;1958;65;3
HOC;Élevé;non;21;9890;8;67;54850;2864;130;2967;5589;2373;71;3
HOC;Élevé;non;15;10543;8;58;49858;2877;118;2818;5278;2256;70;3
EST;Élevé;non;18;13370;7;69;51285;3194;155;2735;5646;2496;75;3
EST;Élevé;non;14;13570;7;61;47037;2869;139;2478;5026;2197;64;3
EST;Élevé;non;13;13587;7;61;49989;3113;172;2567;5424;2412;79;3
EST;Élevé;non;14;15255;9;64;52538;3498;126;2613;5914;2568;87;3
BRG;Élevé;non;26;11660;8;77;53190;3010;169;3537;5906;2953;72;3
BRG;Élevé;non;16;11332;7;67;50331;2940;161;3119;5659;2677;69;3
BRG;Élevé;non;20;13942;9;67;65051;3038;204;2774;6813;3148;92;3
BRG;Élevé;non;16;11899;9;67;53445;3179;158;2988;5818;2897;75;3
LIG;Élevé;non;15;13274;10;57;64690;3108;207;1656;7185;2599;87;3
LIG;Élevé;non;15;12200;9;57;52670;3225;177;1932;6439;2373;75;3
LIG;Élevé;non;14;14559;7;65;62108;3681;262;2506;7743;2741;93;3
LIG;Élevé;non;14;14250;9;63;60107;3627;221;2043;7021;2688;97;3
PIC;Faible;inoc;19;11716;6;53;44110;2774;148;2351;5038;2099;60;3
PIC;Faible;inoc;13;11456;6;43;39978;2614;157;1943;4566;1913;57;3
PIC;Faible;inoc;14;12029;6;48;42214;2800;162;2529;4647;2041;57;3
PIC;Faible;inoc;14;10035;7;47;40087;2392;156;2519;4422;1827;53;3
